text,label
Scientists discover new species in rainforest with extensive research,0
Stock market shows steady growth according to financial reports,0
New vaccine passes clinical trials with promising results,0
Technology company announces quarterly earnings report,0
International summit addresses climate change policies,0
Shocking aliens spotted downtown! You won't believe this!,1
Miracle cure doctors hate! Click now before deleted!,1
Secret government conspiracy finally revealed to public!,1
Lose 50 pounds in one week with this weird trick!,1
Unbelievable truth they don't want you to know!,1
